Date,Open,High,Low,Close,Adj Close,Volume
2016-11-18,220.000000,227.000000,219.500000,227.000000,202.760803,4897000
2016-11-21,227.500000,227.500000,223.000000,223.000000,199.187927,3170000
2016-11-22,225.000000,229.500000,224.000000,228.500000,204.100632,6288000
2016-11-23,229.500000,229.500000,225.500000,226.000000,201.867599,2849000
2016-11-24,224.500000,225.000000,222.000000,222.000000,198.294724,3901000
2016-11-25,222.000000,224.000000,221.500000,221.500000,197.848099,1956000
2016-11-28,222.000000,225.500000,221.500000,223.500000,199.634537,3605000
2016-11-29,223.500000,223.500000,220.000000,221.500000,197.848099,4482000
2016-11-30,224.000000,226.000000,221.500000,221.500000,197.848099,8583000
2016-12-01,223.000000,224.500000,221.500000,224.500000,200.527756,3836000
2016-12-02,224.000000,226.000000,222.000000,225.000000,200.974365,4089000
2016-12-05,226.000000,226.000000,223.000000,223.500000,199.634537,3164000
2016-12-06,226.000000,228.000000,225.000000,226.000000,201.867599,4680000
2016-12-07,228.000000,228.000000,224.000000,225.000000,200.974365,4604000
2016-12-08,226.000000,230.000000,225.500000,230.000000,205.440475,7409000
2016-12-09,230.000000,231.000000,228.000000,230.500000,205.887070,5121000
2016-12-12,232.000000,233.000000,229.000000,229.500000,204.993851,4420000
2016-12-13,229.000000,229.500000,227.500000,228.500000,204.100632,4146000
2016-12-14,229.500000,230.000000,223.500000,225.000000,200.974365,7586000
2016-12-15,224.500000,228.500000,223.000000,228.000000,203.654037,4676000
2016-12-16,227.000000,229.000000,226.000000,226.000000,201.867599,4197000
2016-12-19,226.000000,226.000000,223.500000,224.000000,200.081161,2637000
2016-12-20,222.000000,222.000000,215.000000,219.500000,196.061661,8875000
2016-12-21,219.500000,221.000000,216.500000,216.500000,193.382019,4953000
2016-12-22,216.500000,218.500000,216.000000,217.000000,193.828613,4232000
2016-12-23,217.000000,218.000000,216.000000,216.500000,193.382019,4036000
2016-12-26,214.000000,216.500000,214.000000,216.000000,192.935379,3081000
2016-12-27,216.000000,218.500000,215.500000,218.000000,194.721817,2065000
2016-12-28,218.000000,219.500000,216.500000,218.500000,195.168442,2979000
2016-12-29,218.000000,218.500000,216.000000,216.500000,193.382019,3600000
2016-12-30,218.500000,219.000000,216.500000,216.500000,193.382019,3796000
2017-01-03,217.500000,218.000000,216.500000,218.000000,194.721817,3403000
2017-01-04,218.000000,218.500000,215.500000,216.000000,192.935379,3332000
2017-01-05,215.500000,218.000000,215.500000,218.000000,194.721817,3647000
2017-01-06,218.500000,222.000000,218.000000,220.000000,196.508270,4246000
2017-01-09,220.500000,221.000000,217.000000,217.000000,193.828613,2441000
